Rxn.name	Gene.reaction.association
HMR_3905	ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144
HMR_3907	ENSG00000117448
HMR_4097	ENSG00000131069
HMR_4099	ENSG00000111058 or ENSG00000154930
HMR_4108	ENSG00000131069
HMR_4133	ENSG00000131069
HMR_4137	ENSG00000091140 and ENSG00000110435 and ENSG00000131828 and ENSG00000150768 and ENSG00000163114 and ENSG00000168291
HMR_4281	ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989
HMR_4388	ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989
HMR_4283	ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254
HMR_8357	ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904
HMR_4379	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
HMR_4301	ENSG00000067057 or ENSG00000141959 or ENSG00000152556 or ENSG00000160226
HMR_4355	ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043
HMR_4358	ENSG00000067225 or ENSG00000121900 or ENSG00000143627 or ENSG00000143630
HMR_4360	ENSG00000180011
HMR_4363	ENSG00000074800 or ENSG00000108515 or ENSG00000111674
HMR_4365	ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784
HMR_4368	ENSG00000096006 or ENSG00000102144 or ENSG00000154305 or ENSG00000170950
HMR_4370	ENSG00000119640 or ENSG00000170634
HMR_4371	ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784
HMR_4372	ENSG00000172331
HMR_4373	ENSG00000105679 or ENSG00000111640
HMR_4375	ENSG00000109107 or ENSG00000136872 or ENSG00000149925 or ENSG00000285043
HMR_4377	ENSG00000130957 or ENSG00000165140
HMR_4381	ENSG00000105220
HMR_4391	ENSG00000111669
HMR_4394	ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159322 or ENSG00000159399 or ENSG00000160883
HMR_4396	ENSG00000079739 or ENSG00000154330 or ENSG00000169299
HMR_4521	ENSG00000131482 or ENSG00000141349 or ENSG00000152254
HMR_6410	(ENSG00000131828 and ENSG00000168291) or (ENSG00000163114 and ENSG00000168291)
HMR_6412	(ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291) or (ENSG00000091140 and ENSG00000150768 and ENSG00000163114 and ENSG00000168291)
HMR_7745	ENSG00000143891
HMR_7746	ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
HMR_7747	ENSG00000159322
HMR_7748	ENSG00000105220
HMR_7749	ENSG00000105220
HMR_8360	ENSG00000121691
HMR_8652	ENSG00000131482 or ENSG00000141349 or ENSG00000152254
HMR_8757	ENSG00000130649
HMR_3989	ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335
HMR_4122	ENSG00000109814
HMR_4837	ENSG00000118094 or ENSG00000142102
HMR_5395	ENSG00000056998 or ENSG00000163754
HMR_5396	ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754
HMR_9727	ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281
HMR_5397	ENSG00000114480
HMR_5398	ENSG00000068976 or ENSG00000100504 or ENSG00000100994
HMR_5399	ENSG00000162688
HMR_5400	ENSG00000162688
HMR_5401	ENSG00000068976 or ENSG00000100504 or ENSG00000100994
HMR_8568	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8569	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8570	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8571	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8572	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8573	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8574	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8575	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8576	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8577	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
HMR_8578	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480
