from	to	TCGA-2Z-A9J5-01A	TCGA-2Z-A9JT-01A	TCGA-4A-A93X-01A
m00002c	m01326c	0.44399321260981	0.085270727993247	0.199868705618964
m00003c	m00003s	2.79217205690509	1.85018426996818	1.75925130729964
m00003c	m00004c	1.73425127731126	1.44838920252172	1.84410054144021
m00003c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00003r	m00004r	1.73425127731126	1.44838920252172	1.84410054144021
m00003s	m00003c	1.94176283507826	1.75803598757802	1.37786848138935
m00004c	m00003c	1.78881320338072	1.39466403003618	2.20557538061759
m00004c	m00438c	1.59810940842488	1.41958486938122	2.52918096331373
m00004c	m02102c	1.38060243455233	1.07190519368499	1.02105335153605
m00004m	m02102m	4.26433185405952	4.0821046523365	4.17779226859621
m00004r	m01454r	2.01196620479113	1.97874880598003	1.95790483014981
m00004r	m02102r	4.70321223766271	4.7844250134471	4.84460644840618
m00006c	m00441c	1.59810940842488	1.41958486938122	2.52918096331373
m00006c	m01582c	3.52306448069198	2.8430532325579	4.0496759220578
m00006c	m01726c	1.38060243455233	1.07190519368499	1.02105335153605
m00006m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00006m	m01726m	4.26433185405952	4.0821046523365	4.17779226859621
m00006r	m01457r	2.01196620479113	1.97874880598003	1.95790483014981
m00006r	m01582r	1.73425127731126	1.44838920252172	1.84410054144021
m00006r	m01726r	4.70321223766271	4.7844250134471	4.84460644840618
m00007c	m00442c	1.59810940842488	1.41958486938122	2.52918096331373
m00007c	m00842c	2.02729239472741	1.62230835919174	2.16070539811187
m00007c	m01584c	3.52306448069198	2.8430532325579	4.0496759220578
m00007c	m01777c	1.38060243455233	1.07190519368499	1.02105335153605
m00007m	m01777m	4.26433185405952	4.0821046523365	4.17779226859621
m00007m	m03012m	4.63742991598913	3.75484703596936	4.17573221026376
m00007p	m03012p	3.10677422418224	2.74446000793594	2.9623408637705
m00007r	m01458r	2.01196620479113	1.97874880598003	1.95790483014981
m00007r	m01584r	1.73425127731126	1.44838920252172	1.84410054144021
m00007r	m01777r	4.70321223766271	4.7844250134471	4.84460644840618
m00008c	m00008s	2.79217205690509	1.85018426996818	1.75925130729964
m00008c	m00009c	1.73425127731126	1.44838920252172	1.84410054144021
m00008c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00008r	m00009r	1.73425127731126	1.44838920252172	1.84410054144021
m00008s	m00008c	1.94176283507826	1.75803598757802	1.37786848138935
m00009c	m00008c	1.78881320338072	1.39466403003618	2.20557538061759
m00009c	m00440c	1.59810940842488	1.41958486938122	2.52918096331373
m00009c	m00860c	2.02729239472741	1.62230835919174	2.16070539811187
m00009c	m01770c	1.38060243455233	1.07190519368499	1.02105335153605
m00009m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00009m	m01770m	4.26433185405952	4.0821046523365	4.17779226859621
m00009r	m01456r	2.01196620479113	1.97874880598003	1.95790483014981
m00009r	m01770r	4.70321223766271	4.7844250134471	4.84460644840618
m00010c	m00010s	2.79217205690509	1.85018426996818	1.75925130729964
m00010c	m00012c	1.73425127731126	1.44838920252172	1.84410054144021
m00010c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00010r	m00012r	1.73425127731126	1.44838920252172	1.84410054144021
m00010s	m00010c	1.94176283507826	1.75803598757802	1.37786848138935
m00011c	m00011m	1.86786743183915	1.29545683972447	1.96539712531874
m00011c	m00011r	4.06598386541363	2.19137348968327	3.57242962554198
m00011c	m02348c	5.93385129725278	3.48683032940774	5.53782675086072
m00012c	m00010c	1.78881320338072	1.39466403003618	2.20557538061759
m00012c	m00011c	1.38060243455233	1.07190519368499	1.02105335153605
m00012c	m00439c	1.59810940842488	1.41958486938122	2.52918096331373
m00012c	m00862c	2.02729239472741	1.62230835919174	2.16070539811187
m00012m	m00011m	4.26433185405952	4.0821046523365	4.17779226859621
m00012m	m01261m	5.54500410557102	4.89804968913277	5.26493041316481
m00012r	m00011r	4.70321223766271	4.7844250134471	4.84460644840618
m00012r	m01455r	2.01196620479113	1.97874880598003	1.95790483014981
m00015p	m00014p	1.78881320338072	1.39466403003618	2.20557538061759
m00016c	m00446c	1.59810940842488	1.41958486938122	2.52918096331373
m00016c	m00856c	2.02729239472741	1.62230835919174	2.16070539811187
m00016c	m01583c	3.52306448069198	2.8430532325579	4.0496759220578
m00016c	m01727c	1.38060243455233	1.07190519368499	1.02105335153605
m00016m	m01727m	4.26433185405952	4.0821046523365	4.17779226859621
m00016m	m03013m	4.63742991598913	3.75484703596936	4.17573221026376
m00016p	m03013p	3.10677422418224	2.74446000793594	2.9623408637705
m00016r	m01462r	2.01196620479113	1.97874880598003	1.95790483014981
m00016r	m01583r	1.73425127731126	1.44838920252172	1.84410054144021
m00016r	m01727r	4.70321223766271	4.7844250134471	4.84460644840618
m00017c	m00017s	2.79217205690509	1.85018426996818	1.75925130729964
m00017c	m00018c	1.73425127731126	1.44838920252172	1.84410054144021
m00017c	m01285c	2.79217205690509	1.85018426996818	1.75925130729964
m00017r	m00018r	1.73425127731126	1.44838920252172	1.84410054144021
m00017s	m00017c	1.94176283507826	1.75803598757802	1.37786848138935
