"from"	"to"	"Metabolite"
"1"	"HMR_0688"	"HMR_0241"	"m00003c"
"2"	"HMR_0688"	"HMR_0243"	"m00003c"
"3"	"HMR_0242"	"HMR_0241"	"m00003c"
"4"	"HMR_0242"	"HMR_0243"	"m00003c"
"5"	"HMR_0691"	"HMR_0241"	"m00003c"
"6"	"HMR_0691"	"HMR_0243"	"m00003c"
"7"	"HMR_0240"	"HMR_0241"	"m00003c"
"8"	"HMR_0240"	"HMR_0243"	"m00003c"
"9"	"HMR_0685"	"HMR_0241"	"m00003c"
"10"	"HMR_0685"	"HMR_0243"	"m00003c"
"11"	"HMR_0689"	"HMR_0241"	"m00003c"
"12"	"HMR_0689"	"HMR_0243"	"m00003c"
"13"	"HMR_0686"	"HMR_0241"	"m00003c"
"14"	"HMR_0686"	"HMR_0243"	"m00003c"
"15"	"HMR_3695"	"HMR_2955"	"m00003r"
"16"	"HMR_0243"	"HMR_0240"	"m00003s"
"17"	"HMR_0015"	"HMR_0240"	"m00003s"
"18"	"HMR_2288"	"HMR_0497"	"m00004c"
"19"	"HMR_2288"	"HMR_2648"	"m00004c"
"20"	"HMR_2288"	"HMR_0242"	"m00004c"
"21"	"HMR_2288"	"HMR_0546"	"m00004c"
"22"	"HMR_2288"	"HMR_0545"	"m00004c"
"23"	"HMR_2288"	"HMR_0550"	"m00004c"
"24"	"HMR_2288"	"HMR_0553"	"m00004c"
"25"	"HMR_2288"	"HMR_0547"	"m00004c"
"26"	"HMR_2288"	"HMR_0548"	"m00004c"
"27"	"HMR_2288"	"HMR_0549"	"m00004c"
"28"	"HMR_2288"	"HMR_0551"	"m00004c"
"29"	"HMR_0241"	"HMR_0497"	"m00004c"
"30"	"HMR_0241"	"HMR_2648"	"m00004c"
"31"	"HMR_0241"	"HMR_0242"	"m00004c"
"32"	"HMR_0241"	"HMR_0546"	"m00004c"
"33"	"HMR_0241"	"HMR_0545"	"m00004c"
"34"	"HMR_0241"	"HMR_0550"	"m00004c"
"35"	"HMR_0241"	"HMR_0553"	"m00004c"
"36"	"HMR_0241"	"HMR_0547"	"m00004c"
"37"	"HMR_0241"	"HMR_0548"	"m00004c"
"38"	"HMR_0241"	"HMR_0549"	"m00004c"
"39"	"HMR_0241"	"HMR_0551"	"m00004c"
"40"	"HMR_2955"	"HMR_3636"	"m00004r"
"41"	"HMR_2955"	"HMR_2814"	"m00004r"
"42"	"HMR_2356"	"HMR_0547"	"m00006c"
"43"	"HMR_2356"	"HMR_0323"	"m00006c"
"44"	"HMR_2356"	"HMR_0550"	"m00006c"
"45"	"HMR_2356"	"HMR_0549"	"m00006c"
"46"	"HMR_2356"	"HMR_2708"	"m00006c"
"47"	"HMR_2356"	"HMR_0324"	"m00006c"
"48"	"HMR_2356"	"HMR_0553"	"m00006c"
"49"	"HMR_2356"	"HMR_0548"	"m00006c"
"50"	"HMR_2356"	"HMR_0516"	"m00006c"
"51"	"HMR_2356"	"HMR_0546"	"m00006c"
"52"	"HMR_2356"	"HMR_0545"	"m00006c"
"53"	"HMR_2356"	"HMR_0551"	"m00006c"
"54"	"HMR_2311"	"HMR_0551"	"m00007c"
"55"	"HMR_2311"	"HMR_0550"	"m00007c"
"56"	"HMR_2311"	"HMR_0294"	"m00007c"
"57"	"HMR_2311"	"HMR_0549"	"m00007c"
"58"	"HMR_2311"	"HMR_0546"	"m00007c"
"59"	"HMR_2311"	"HMR_0293"	"m00007c"
"60"	"HMR_2311"	"HMR_0553"	"m00007c"
"61"	"HMR_2311"	"HMR_0548"	"m00007c"
"62"	"HMR_2311"	"HMR_2315"	"m00007c"
"63"	"HMR_2311"	"HMR_0545"	"m00007c"
"64"	"HMR_2311"	"HMR_0547"	"m00007c"
"65"	"HMR_2311"	"HMR_0509"	"m00007c"
"66"	"HMR_2311"	"HMR_2684"	"m00007c"
"67"	"HMR_3221"	"HMR_2686"	"m00007m"
"68"	"HMR_3221"	"HMR_3222"	"m00007m"
"69"	"HMR_3337"	"HMR_3338"	"m00007p"
"70"	"HMR_0685"	"HMR_0429"	"m00008c"
"71"	"HMR_0685"	"HMR_0431"	"m00008c"
"72"	"HMR_0428"	"HMR_0429"	"m00008c"
"73"	"HMR_0428"	"HMR_0431"	"m00008c"
"74"	"HMR_0686"	"HMR_0429"	"m00008c"
"75"	"HMR_0686"	"HMR_0431"	"m00008c"
"76"	"HMR_0688"	"HMR_0429"	"m00008c"
"77"	"HMR_0688"	"HMR_0431"	"m00008c"
"78"	"HMR_0689"	"HMR_0429"	"m00008c"
"79"	"HMR_0689"	"HMR_0431"	"m00008c"
"80"	"HMR_0691"	"HMR_0429"	"m00008c"
"81"	"HMR_0691"	"HMR_0431"	"m00008c"
"82"	"HMR_0430"	"HMR_0429"	"m00008c"
"83"	"HMR_0430"	"HMR_0431"	"m00008c"
"84"	"HMR_3740"	"HMR_3002"	"m00008r"
"85"	"HMR_0431"	"HMR_0428"	"m00008s"
"86"	"HMR_0015"	"HMR_0428"	"m00008s"
"87"	"HMR_2430"	"HMR_0430"	"m00009c"
"88"	"HMR_2430"	"HMR_0551"	"m00009c"
"89"	"HMR_2430"	"HMR_2433"	"m00009c"
"90"	"HMR_2430"	"HMR_0549"	"m00009c"
"91"	"HMR_2430"	"HMR_0553"	"m00009c"
"92"	"HMR_2430"	"HMR_0547"	"m00009c"
"93"	"HMR_2430"	"HMR_0550"	"m00009c"
"94"	"HMR_2430"	"HMR_0546"	"m00009c"
"95"	"HMR_2430"	"HMR_0548"	"m00009c"
"96"	"HMR_2430"	"HMR_0542"	"m00009c"
"97"	"HMR_2430"	"HMR_0545"	"m00009c"
"98"	"HMR_2430"	"HMR_2768"	"m00009c"
"99"	"HMR_0429"	"HMR_0430"	"m00009c"
"100"	"HMR_0429"	"HMR_0551"	"m00009c"
"101"	"HMR_0429"	"HMR_2433"	"m00009c"
"102"	"HMR_0429"	"HMR_0549"	"m00009c"
"103"	"HMR_0429"	"HMR_0553"	"m00009c"
"104"	"HMR_0429"	"HMR_0547"	"m00009c"
"105"	"HMR_0429"	"HMR_0550"	"m00009c"
"106"	"HMR_0429"	"HMR_0546"	"m00009c"
"107"	"HMR_0429"	"HMR_0548"	"m00009c"
"108"	"HMR_0429"	"HMR_0542"	"m00009c"
"109"	"HMR_0429"	"HMR_0545"	"m00009c"
"110"	"HMR_0429"	"HMR_2768"	"m00009c"
"111"	"HMR_3002"	"HMR_3681"	"m00009r"
"112"	"HMR_3002"	"HMR_2901"	"m00009r"
"113"	"HMR_0686"	"HMR_0383"	"m00010c"
"114"	"HMR_0686"	"HMR_0381"	"m00010c"
"115"	"HMR_0382"	"HMR_0383"	"m00010c"
"116"	"HMR_0382"	"HMR_0381"	"m00010c"
"117"	"HMR_0685"	"HMR_0383"	"m00010c"
"118"	"HMR_0685"	"HMR_0381"	"m00010c"
"119"	"HMR_0688"	"HMR_0383"	"m00010c"
"120"	"HMR_0688"	"HMR_0381"	"m00010c"
"121"	"HMR_0380"	"HMR_0383"	"m00010c"
"122"	"HMR_0380"	"HMR_0381"	"m00010c"
"123"	"HMR_0689"	"HMR_0383"	"m00010c"
"124"	"HMR_0689"	"HMR_0381"	"m00010c"
"125"	"HMR_0691"	"HMR_0383"	"m00010c"
